XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
acetohexamide	2.96	324.114378120001	0	6	2.34	0	15	5	23	0	42	6	6	-1.1245	1.26450025	72.4172
acetone	0.76	135.95237688	0	1	1.57	3	1	4	4	0	10	0	0	0.4331	0.18757561	23.9315
acetylcarnitine	-1.001	203.115758024	0	6	1.9	4	3	7	13	2	31	0	0	-2.1398	4.57874404000001	46.407
acetylcholine	-0.0970000000000001	146.118103752	0	4	1.9	2	3	7	9	2	26	0	0	-1.195	1.428025	38.2306
acetylcysteine	-0.133	163.030314148	0	4	1.46	3	3	6	9	0	19	0	0	-0.4992	0.24920064	36.8118
acetyldigitoxin	3.726	806.445256792002	1	9	4.65	0	5	3	64	0	123	0	0	-2.72600000000001	7.43107600000005	192.5184
acipimox	-2.064	154.037842052	0	1	1.57	0	10	3	11	0	17	6	6	-0.0285	0.000812249999999998	32.526
acitretin	5.79	326.188194692001	1	6	3.44	9	18	10	24	0	50	6	6	5.5339	30.62404921	104.1665
aclarubicin	2.557	811.341519996001	1	10	4.32	0	18	4	64	1	111	12	12	-1.1173	1.24835929	196.8944
aclidinium	4.032	563.079962540001	0	10	3.44	3	7	4	37	2	64	16	16	NA	NA	NA
aconite	-1.034	174.016437912	0	4	1.46	5	8	7	11	0	18	0	0	-0.5191	0.26946481	35.2305
acrivastine	3.989	348.183778008001	0	6	3.44	3	19	4	28	1	50	12	12	3.2507	10.56705049	102.2927
activated_charcoal	0.739	12	0	0	1.57	0	0	0	0	0	1	0	0	0	0	0
acyclovir	-0.473	247.06813346	0	4	1.35	2	11	5	17	1	27	10	9	NA	NA	NA
adapalene	8.575	412.203844756001	1	4	4.21	0	20	3	36	0	59	17	16	3.561	12.680721	120.7918
adefovir	-2.108	273.062690494	0	5	1.24	2	10	6	19	0	30	10	9	-0.8448	0.71368704	64.2699
adenine	-0.337	135.05449516	0	0	1.46	0	10	0	11	0	15	10	9	-0.9336	0.87160896	36.1953
adenosine	-1.417	267.096753896	0	2	1.57	0	10	2	21	0	32	10	9	-2.2146	4.90445316	64.6719
adenosine_triphosphate	-5.533	550.959633958	1	8	0.0300000000000002	0	13	8	33	2	47	10	9	NA	NA	NA
adrafinil	0.618	289.07726434	0	6	2.56	2	6	6	21	0	35	12	12	1.207	1.456849	69.1602
afatinib	3.101	485.162995560001	0	9	3	4	23	7	37	1	59	17	16	3.8412	14.75481744	126.4519
ajmaline	2.166	326.199428072001	0	1	3.22	0	7	2	29	1	50	6	6	-0.322099999999999	0.10374841	88.2066
alanine	-2.824	89.047678464	0	1	1.46	3	3	4	5	1	13	0	0	-1.0955	1.20012025	20.6629
albendazole	3.121	265.08849772	0	6	2.12	3	13	4	19	0	33	10	9	2.0962	4.39405444	69.0048
albiglutide	-11.892	3284.59375257042	4	138	8.39	6	9	95	238	6	456	33	32	-8.01050000000002	64.1681102500004	818.9658
albuterol	-0.324	337.119523076001	1	5	1.9	2	7	6	21	1	45	6	6	0.258599999999997	0.0668739599999984	80.7795
alcaftadine	2.447	307.168462292001	0	1	3.11	0	15	2	26	1	44	11	11	2.7546	7.58782116	93.1094
alclometasone	2.734	520.222781204001	0	8	3.66	3	6	7	39	0	73	0	0	0.175799999999999	0.0309056399999998	134.6044
alcuronium	2.902	666.895039833244	1	6	5.64	3	9	3	60	4	100	12	12	1.4854	2.20641315999999	200.4092
aldioxa	-2.428	220.119786467575	0	3	0.8	0	6	3	12	2	23	0	0	-0.9592	0.92006464	31.3115
aldosterone	0.257	360.193673996001	0	3	3.22	2	4	4	29	0	54	0	0	-1.3555	1.83738024999999	95.9125
alendronate	-4.298	270.998669264	0	5	0.69	4	4	7	13	2	27	0	0	NA	NA	NA
alfacalcidol	8.71	400.334130648001	1	6	4.21	7	6	7	31	0	73	0	0	1.1938	1.42515843999999	118.4656
alfentanil	0.196000000000001	416.253588884001	0	10	2.78	3	9	4	32	1	62	11	11	0.672500000000003	0.452256250000004	110.6268
alfuzosin	1.443	389.206304344001	0	9	2.56	3	14	8	30	0	55	11	10	0.1262	0.0159264400000001	101.7826
alibendol	2.11	251.278882390596	0	7	2.34	3	11	6	18	0	35	6	6	1.2228	1.49523984	68.2722
aliskiren	3.273	551.393436416001	1	20	3.77	10	8	14	39	1	92	6	6	1.2225	1.49450625	147.8241
alitretinoin	6.254	300.208930136001	1	5	3.44	9	13	10	22	0	50	0	0	3.8871	15.10954641	96.6302
alizapride	1.53	315.169524912001	0	7	2.45	3	13	4	25	1	44	10	9	0.8937	0.79869969	85.8338
allantoin	-1.169	158.043990052	0	2	1.13	0	6	3	11	0	17	0	0	-1.2413	1.54082569	28.0225
allylestrenol	6.293	300.245315644001	1	2	3.66	3	2	3	25	0	54	0	0	1.2587	1.58432569	89.2059
almitrine	5.184	477.245250368001	1	10	3.33	3	9	4	38	1	64	18	18	5.9653	35.58480409	140.5661
almotriptan	1.625	335.166748040001	0	6	2.67	2	9	4	25	1	48	10	9	0.819199999999999	0.671088639999999	90.7795
alogliptin	1.43	339.169524912001	0	3	2.67	0	9	2	27	1	46	12	12	1.0519	1.10649361	83.9874
alosetron	2.323	294.148061196001	0	2	2.78	0	12	0	25	0	40	15	14	1.7291	2.98978681	84.7514
aloxiprin	1.422	282.119060854684	0	3	1.46	2	12	3	13	0	26	6	6	1.2021	1.44504441	43.9488
alpha_tocopherol	11.431	430.70718855328	2	12	4.43	13	8	13	32	0	81	6	6	10.4155	108.48264025	135.0859
alprazolam	5.5	308.082874096	1	1	2.78	0	19	0	25	0	35	17	17	3.7679	14.19707041	88.4095
alprenolol	2.844	249.172878976	0	8	2.78	3	7	7	18	1	41	6	6	1.8559	3.44436481	75.0725
alprostadil	3.306	354.481728203683	1	13	3.11	8	3	8	25	0	59	0	0	3.479	12.103441	98.3179
althiazide	0.948	382.983496608	0	5	1.46	3	15	5	23	0	36	6	6	1.8161	3.29821921	85.6088
altretamine	1.71	210.159294576	0	3	1.79	0	9	3	15	0	33	6	6	1.9953	3.98122209	65.6454
aluminum_acetate	-1.683	204.113850360576	0	0	1.35	2	3	3	9	0	22	0	0	-2.7231	7.41527361000001	31.0977
aluminum_aspirin	1.415	402.288540427695	0	6	2.34	2	12	3	26	0	43	12	12	1.0486	1.09956196	83.342
aluminum_chloride	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
aluminum	0	26.98153863	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
aluminum_hydroxide	-1.401	81.013232682	0	0	1.02	0	0	0	0	0	10	0	0	0	0	0
aluminum_magnesium_silicate	-1.868	143.369594707634	0	0	0.69	0	0	3	4	0	7	0	0	-1.6576	2.74763776	0
aluminum_phosphate	-2.247	124.958433836	0	0	0.8	0	4	3	4	0	9	0	0	-2.5782	6.64711524	6.9581
aluminum_sulfate	-5.759	365.875780576	1	0	-0.52	0	4	3	12	0	26	0	0	-6.0402	36.48401604	25.9248
alverine	4.938	281.214349864001	0	9	3.55	3	6	7	22	1	48	12	12	3.2863	10.79976769	89.0611
alvimopan	3.06	424.236207504001	0	9	3.55	3	7	7	33	1	63	12	12	2.8903	8.35383408999999	118.6316
amantadine	2.312	151.136099544	0	0	2.45	0	0	0	13	1	28	0	0	-1.5787	2.49229369	44.1259
ambenonium	4.572	536.268481944001	1	17	3.66	2	6	14	37	4	78	12	12	2.25500000000001	5.08502500000002	143.7718
ambrisentan	3.673	378.157957184001	0	7	3.22	3	7	6	30	0	50	18	18	3.733	13.935289	105.302
ambroxol	2.9	375.978587396001	0	3	2.34	0	7	2	19	1	36	6	6	0.684699999999999	0.468814089999999	74.3368
amcinonide	2.34	502.236681680001	0	4	3.66	2	6	6	41	0	71	0	0	-1.53540000000001	2.35745316000002	119.5164
amdinocillin_pivoxil	2.671	439.214092156001	0	8	2.78	3	3	8	32	2	63	0	0	0.0731000000000029	0.00534361000000043	105.892
amezinium	1.203	313.07324158	0	3	1.79	0	14	4	21	1	36	12	12	-0.489500000000001	0.239610250000001	70.8636
amifostine	-1.866	214.05409997	0	7	1.24	3	4	10	11	2	27	0	0	-1.2498	1.56200004	48.5897
amikacin	-6.562	585.285736436001	2	11	1.9	4	3	6	42	4	83	0	0	-9.0223	81.40189729	125.1334
amiloride	-0.311	229.047885556	0	3	1.13	0	14	5	15	3	23	6	6	-1.0282	1.05719524	52.5722
aminoglutethimide	1.34	232.121177752	0	2	2.45	0	7	2	18	0	33	6	6	0.2036	0.0414529600000001	65.0661
aminolevulinate	-1.228	145.073893212	0	5	1.68	5	3	8	9	1	21	0	0	-1.1347	1.28754409	35.2169
aminolevulinic_acid	-1.549	131.058243148	0	4	1.57	5	3	7	8	1	18	0	0	-1.3857	1.92016449	30.4478
aminophylline	-1.398	420.198199248001	1	1	1.68	2	11	4	31	2	54	20	18	-0.639999999999999	0.409599999999999	93.6768
aminopterin	-3.231	440.413447409623	2	10	2.12	5	12	8	34	0	52	17	16	0.0304999999999992	0.000930249999999951	111.6404
aminopyrine	1.855	231.137162164	0	2	2.45	0	13	3	18	0	34	11	11	3.1977	10.22528529	66.3934
aminosalicylic_acid	0.843	153.042593084	0	1	1.79	0	11	3	11	0	18	6	6	0.5571	0.31036041	39.6336
amiodarone	7.914	645.023689788001	2	11	3.55	4	18	6	33	1	60	16	15	5.3112	28.20884544	138.8759
amisulpride	2.081	369.172227344001	0	8	2.45	0	14	4	26	1	52	6	6	0.0344000000000027	0.00118336000000019	92.948
amitriptyline	4.926	277.183049736001	0	3	3.55	3	14	5	23	1	44	12	12	3.3752	11.39197504	91.0169
amlexanox	3.871	298.095356928	0	2	2.56	3	19	3	24	0	36	16	14	1.9148	3.66645904	76.6175
amlodipine	3.164	408.145199580001	0	10	2.78	2	11	5	29	1	53	6	6	1.6055	2.57763025	108.1076
ammonia	0	17.0305254685134	0	0	1.35	0	0	0	0	0	4	0	0	-0.3108	0.09659664	2.4
ammonium_chloride	0.512	53.003226808	0	0	1.24	0	0	0	0	1	6	0	0	NA	NA	NA
ammonium	-1.764	132.020477736	0	0	0.69	0	4	3	4	2	15	0	0	-4.9012	24.02176144	8.6416
amobarbital	2.737	226.131742436	0	4	2.12	4	8	4	16	2	34	0	0	-0.139700000000001	0.0195160900000002	57.2165
amodiaquine	4.15	355.145140004001	0	6	3.11	0	18	5	27	1	47	17	16	4.7104	22.18786816	103.2038
amorolfine	5.492	317.271864740001	1	6	3.55	4	6	4	24	1	58	6	6	3.0898	9.54686404000001	99.6482
amoxapine	3.515	313.098189812	0	1	2.78	0	16	0	25	3	38	12	12	2.9886	8.93172996000001	86.1449
amoxicillin	-2.619	387.086485956001	0	5	2.12	2	7	4	27	2	44	6	6	NA	NA	NA
amphetamine	-1.945	268.14230712	0	5	2.23	4	6	6	18	2	39	6	6	-0.3642	0.13264164	70.5139
amphotericin_b	2.068	923.487849876002	2	3	4.65	0	14	3	67	1	138	0	0	-5.1814	26.84690596	230.9353
amphotericin_b_liposomal	2.068	924.080849154033	3	3	4.65	0	14	3	67	1	138	0	0	-0.163399999999994	0.0266995599999979	244.6683
amphotericin	2.068	923.487849876002	2	3	4.65	0	14	3	67	1	138	0	0	-5.1814	26.84690596	230.9353
ampicillin	-3.133	403.141321140001	1	5	2.01	2	6	4	26	1	52	6	6	0.260499999999999	0.0678602499999996	86.6289
amprenavir	2.27	505.224656840001	1	13	3.11	4	11	10	37	0	70	12	12	1.2141	1.47403881	130.9772
amsacrine	4.359	429.09139018	0	5	2.89	0	26	3	31	0	49	22	20	3.992	15.936064	109.6299
amyl_nitrite	5.209	234.157957184	1	8	1.9	4	3	7	14	0	38	0	0	-3.894	15.163236	57.5724
anagrelide	2.217	254.996617204	0	0	1.9	0	12	0	18	3	23	6	6	2.4057	5.78739249	58.6289
anakinra	-1	509.558875787995	1	11	2.12	3	12	10	36	0	57	5	5	1.3177	1.73633329	125.0762
anastrozole	2.374	293.164045608	0	4	2.78	3	6	4	23	0	41	11	11	2.9656	8.79478336	87.1856
anethole	3.398	148.202052941359	0	2	2.45	3	9	3	11	0	23	6	6	2.7676	7.65960976	47.881
anethole_trithione	2.494	239.973727876	0	2	2.12	0	11	2	15	0	22	11	11	4.4285	19.61161225	65.0332
anidulafungin	5.512	1139.506293876	4	15	5.2	5	22	6	88	0	155	24	24	-4.1439	17.17190721	278.7077
aniracetam	1.332	219.089543276	0	3	2.34	0	12	2	17	0	29	6	6	0.794599999999999	0.631389159999998	57.039
antazoline	3.373	265.353494189194	0	5	3	0	7	3	22	2	39	12	12	2.928	8.573184	83.0377
anthralin	2.708	226.06299418	0	0	2.67	0	16	0	19	0	27	12	12	3.0988	9.60256144	63.5507
antioxidant_119	33.8	2285.61682945767	4	55	12.46	4	9	12	175	8	414	24	24	27.6908	766.780404640001	717.423
antipyrine	1.321	188.094963004	0	1	2.34	0	12	0	15	0	26	11	11	3.0355	9.21426025	51.9648
apazone	1.983	300.356212108406	0	3	2.56	3	15	3	24	3	42	6	6	2.4005	5.76240025	83.2336
apixaban	1.815	459.190654280001	0	5	3.22	0	27	3	38	0	59	17	17	1.5448	2.38640704000001	121.5401
apomorphine	2.857	267.125928784	0	0	3	0	14	0	23	1	37	12	12	2.9957	8.97421849	79.0715
apraclonidine	1.749	244.02825168	0	1	1.79	0	11	0	16	3	25	6	6	2.0244	4.09819536	59.074
apremilast	2.001	460.130422108001	0	9	2.78	2	14	4	34	0	56	12	12	1.5328	2.34947584	116.0627
aprepitant	5.238	534.150188072001	1	8	2.45	0	6	3	40	1	58	17	17	5.0256	25.25665536	115.1302
aprindine	5.039	322.240898960001	1	8	3.66	3	7	7	26	1	54	12	12	3.9616	15.69427456	102.498
aprotinin	7.25699999999988	6511.4580539609	5	118	14	5	7	12	468	23	886	48	48	-16.272	264.777984000001	1636.1106
arbekacin	-5.856	552.61985141558	3	11	2.12	4	3	6	40	5	82	0	0	-6.9442	48.2219136400001	129.1578
arbutin	-0.0959999999999999	272.251717315654	0	3	2.01	0	8	2	20	0	35	6	6	-0.609199999999999	0.371124639999999	61.8774
arformoterol	-0.0260000000000003	494.190045160001	2	12	2.67	4	10	6	35	1	65	12	12	-0.233399999999998	0.0544755599999992	121.8367
argatroban	0.307	508.246789252001	2	11	2.67	5	11	10	37	3	71	6	6	-1.2687	1.60959969	121.0473
arginine	-2.924	174.111675688	0	6	1.46	5	4	9	11	4	26	0	0	-2.1807	4.75545249	36.4993
aripiprazole	4.611	447.148032464001	0	7	3.22	4	10	5	33	1	57	12	12	3.9996	15.99680016	118.0328
armodafinil	0.538	273.08234972	0	5	2.67	2	6	5	20	0	34	12	12	1.6673	2.77988929	66.5956
arsenic	0	77.945071596	0	0	1.35	0	0	0	0	0	4	0	0	0	0	0
arsenic_trioxide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
artemether	3.334	298.178023932001	0	1	2.67	0	2	2	24	0	47	0	0	0.6572	0.43191184	66.3545
artesunate	2.925	384.178417856001	0	5	2.67	4	3	6	30	0	55	0	0	0.4477	0.20043529	81.6481
articaine	1.802	284.119463500001	0	8	2.23	3	11	7	19	1	39	5	5	0.724500000000002	0.524900250000004	74.7854
ascorbic_acid	-0.178	176.032087976	0	2	1.46	2	7	4	12	0	20	0	0	-1.7593	3.09513649	36.4585
asenapine	3.41	285.092041812	0	0	3	0	13	0	23	1	36	12	12	3.5243	12.42069049	79.6563
asparagine	-4.435	132.053492116	0	3	1.35	4	3	6	8	1	17	0	0	-1.7468	3.05131024	26.7549
aspartame	-0.0770000000000001	294.121571676	0	9	2.23	4	6	10	21	1	39	6	6	-0.1561	0.0243672100000001	72.5286
aspartate	-1.945	268.14230712	0	5	2.23	4	6	6	18	2	39	6	6	-0.3642	0.13264164	70.5139
aspartic_acid	-3.707	133.037507704	0	3	1.35	4	3	6	8	1	16	0	0	-1.3518	1.82736324	26.5327
aspirin	1.422	180.042258736	0	3	2.01	0	12	3	13	0	21	6	6	1.2114	1.46748996	44.4466
astaxanthin	9.69600000000001	596.386560144001	1	10	5.42	18	26	18	45	0	96	0	0	7.6238	58.12232644	196.2034
astemizole	5.809	458.248189832001	1	8	3.88	2	10	2	38	1	65	22	21	5.0509	25.51159081	131.3573
asunaprevir	4.41	747.270476732001	2	18	3.55	4	12	8	55	0	97	11	10	1.39159999999999	1.93655055999998	177.6563
atazanavir	4.549	704.389748004001	2	22	4.21	4	12	18	53	0	103	18	18	5.2476	27.53730576	189.1109
atenolol	0.461	266.163042564	0	8	2.45	3	7	7	19	1	41	6	6	0.227200000000002	0.0516198400000008	72.1614
atomoxetine	3.948	255.162314292	0	6	3.11	3	7	6	20	1	40	12	12	3.3542	11.25065764	77.4061
atorvastatin	5.678	558.253000440001	2	13	4.21	7	26	8	44	0	76	23	23	4.3763	19.15200169	151.2491
atosiban	0.142	993.441208584002	3	21	3.44	5	7	10	70	1	135	6	6	-6.8463	46.87182369	232.0656
atovaquone	6.306	366.102272148	1	2	3.44	0	13	0	29	0	45	12	12	3.7479	14.04675441	100.5335
atracurium	6.436	928.508525744002	2	26	5.75	5	8	13	72	4	139	24	24	4.0908	16.73464464	248.1599
atropine	1.828	289.167793596001	0	5	2.89	3	6	5	23	1	44	6	6	-0.198	0.0392039999999998	73.222
auranofin	2.927	678.485763236999	2	14	2.34	2	3	5	32	0	66	0	0	0.471299999999999	0.222123689999999	114.623
aurothioglucose	2.687	296.407371472432	0	1	3.22	0	9	0	26	1	46	6	6	2.745	7.535025	88.0223
aurothiomalate	-1.007	346.112920759596	0	3	1.24	4	3	6	8	1	15	0	0	-0.662	0.438244	28.7995
avanafil	NA	476.895874758958	NA	10	2.78	0	11	4	37	NA	53	18	18	NA	NA	NA
axitinib	4.715	386.120132196001	0	6	3.22	2	17	4	31	0	46	22	21	4.4621	19.91033641	116.8546
azacitidine	-2.892	244.080769484	0	2	1.35	0	8	2	18	0	29	6	6	-2.4731	6.11622361	51.4419
azatadine	2.812	290.402820933999	0	0	3.44	0	14	0	25	1	44	12	12	4.0848	16.68559104	92.3522
azathioprine	0.665	277.038193464	0	3	1.35	0	9	3	21	0	26	15	14	1.5872	2.51920384	66.9094
azelastine	4.952	381.160790068001	0	3	3.33	0	11	0	30	1	51	17	16	3.465	12.006225	102.293
azelate	2.284	773.398640948002	2	19	4.43	9	9	11	61	1	114	6	6	-3.9731	15.78552361	183.1914
azilsartan	6.536	606.115295376001	1	10	3.33	0	18	4	47	1	66	32	31	NA	NA	NA
azithromycin	1.888	748.508525744002	1	7	4.1	0	3	3	54	2	124	0	0	-2.5265	6.38320225000002	188.5654
azosemide	1.972	370.007343272	0	5	1.57	0	16	3	25	0	34	16	16	2.6927	7.25063329	92.5432
aztreonam	-1.261	435.051854504	1	8	1.24	3	12	8	29	0	45	5	5	-1.3698	1.87635204	94.2761
bacampicillin	1.977	465.156971204001	0	11	2.56	2	6	9	34	1	59	6	6	1.6949	2.87268601	111.7906
bacitracin	2.82	1421.748941216	3	35	4.98	5	6	13	103	2	203	11	11	-10.0821	101.64874041	335.4004
baclofen	1.334	213.055656304	0	4	2.12	4	6	6	14	1	26	6	6	1.2166	1.48011556	53.8324
balsalazide	2.723	357.0960852	0	8	2.34	3	21	7	27	0	41	12	12	2.7354	7.48241315999999	90.7678
bambuterol	1.362	367.210721028001	0	10	2.56	2	14	6	26	1	55	6	6	1.9821	3.92872040999999	98.1271
bamifylline	1.179	385.211389724001	0	8	2.78	2	11	6	30	1	55	16	15	2.4264	5.88741695999999	100.9542
barbexaclone	4.826	387.516559009403	0	5	3.22	3	8	4	29	1	61	6	6	4.0599	16.48278801	109.2805
barbital	0.433	184.084792244	0	2	1.79	0	8	2	13	0	25	0	0	-0.6307	0.39778249	43.1471
barium	-1.868	245.878796788	0	0	0.8	0	0	0	0	0	10	0	0	NA	NA	NA
barium_sulfate	-1.764	233.85697668	0	0	0.8	0	4	3	4	0	6	0	0	NA	NA	NA
batilol	7.955	344.57306178359	2	20	3.44	18	0	23	23	0	68	0	0	6.7159	45.10331281	103.5545
bazedoxifene	6.501	470.256942948001	1	7	4.21	2	17	3	39	1	69	22	21	4.7178	22.25763684	134.1064
beclamide	2.015	197.661693726579	0	5	2.23	3	6	6	13	0	25	6	6	1.7381	3.02099161	53.4278
beclomethasone	1.275	408.170351708001	0	2	3.22	2	6	4	31	0	57	0	0	-0.679399999999999	0.461584359999999	106.0384
bedaquiline	6.964	670.167848940001	1	10	4.43	4	11	6	48	1	80	28	26	6.2757	39.38441049	177.9357
belinostat	1.954	318.067427928	0	6	2.34	3	22	5	23	0	36	12	12	1.7411	3.03142921	80.5445
benazepril	3.277	424.199821996001	0	10	3.33	4	9	7	33	1	59	12	12	1.3241	1.75324081	111.54
bencyclane	4.49	289.240564612001	0	7	3.33	3	6	6	22	1	52	6	6	0.8686	0.754465960000001	81.4512
bendamustine	3.324	357.101082272001	0	9	2.45	4	10	7	24	0	44	10	9	2.9567	8.74207489	91.5365
bendroflumethiazide	1.733	421.037782588	0	4	1.79	0	15	3	29	0	41	12	12	2.6573	7.06124329	88.2773
benfluorex	4.825	351.144613540001	0	9	2.89	3	9	8	26	1	45	12	12	3.875	15.015625	90.8438
benorilate	2.563	313.305349397666	0	7	2.67	2	21	3	24	0	38	12	12	2.1501	4.62293001	81.5777
benoxinate	3.105	308.209992756001	1	11	2.78	4	11	8	22	1	50	6	6	1.2106	1.46555236	86.4408
benperidol	4.141	381.185255228001	0	6	3.22	4	10	5	31	1	52	16	15	2.7847	7.75455409	100.2301
benproperine	4.869	309.209264484001	0	6	3.55	3	7	4	25	1	50	12	12	2.9982	8.98920324	91.5526
benserazide	-0.113	257.10117058	1	6	1.68	3	9	7	18	1	33	6	6	-1.3999	1.95972001	60.8797
benzalkonium	8.053	318.316075280001	2	14	3.77	13	6	15	23	2	63	6	6	-2.6586	7.06815396	84.3412
benzbromarone	5.216	421.915318444	1	3	2.78	2	18	2	24	0	34	16	15	5.0483	25.48533289	90.4159
benzethonium	7.188	412.321554584001	2	12	4.1	5	7	8	31	2	72	12	12	4.9483	24.48567289	125.8116
benzoate	1.637	139.063328528	0	1	1.9	0	9	3	9	0	19	6	6	1.4437	2.08426969	33.3142
benzocaine	1.564	165.078978592	0	3	2.12	0	10	5	12	0	23	6	6	1.3259	1.75801081	47.0024
benzonatate	1.244	603.361861516001	2	33	3.44	4	10	31	42	0	95	6	6	-0.162699999999998	0.0264712899999993	158.3309
benzophenone	3.576	182.218379124071	0	2	2.78	0	14	2	15	0	24	12	12	3.2342	10.46004964	56.6335
benzoyl_peroxide	3.32	242.0579088	0	5	2.56	0	18	6	19	0	28	12	12	3.1848	10.14295104	64.7732
benzphetamine	4.101	239.167399672	0	5	3.22	3	6	4	19	1	39	12	12	3.5388	12.52310544	78.6631
benzthiazide	1.689	430.983496608	0	5	1.9	0	16	3	28	2	40	12	12	2.5692	6.60078864	97.6646
benztropine	4.281	307.193614420001	0	4	3.55	0	6	2	26	1	48	12	12	1.9562	3.82671844	86.646
benzydamine	4.114	309.184112356001	0	7	3.11	3	10	6	25	1	46	16	15	3.2843	10.78662649	92.8538
benzyl_alcohol	1.211	108.057514876	0	1	2.12	0	6	2	8	0	16	6	6	1.2255	1.50185025	32.8739
benzyl_benzoate	3.668	212.083729624	0	4	2.78	0	9	4	17	0	28	12	12	3.2782	10.74659524	62.6959
bepotastine	3.058	388.155370340001	0	8	3.11	4	6	5	29	1	52	12	12	2.0807	4.32931249000001	100.4569
bepridil	5.225	366.267113708001	1	10	3.77	3	7	9	29	1	61	12	12	3.4644	12.00206736	110.8944
berberine	4.701	336.361974421938	0	2	3.11	0	20	2	29	1	43	17	16	2.1655	4.68939025	88.6084
besifloxacin	3.835	393.125547432001	0	3	2.67	0	15	3	30	1	48	11	10	0.632300000000001	0.399803290000001	87.9501
beta_carotene	14.734	536.438201792002	1	10	5.86	18	22	18	41	0	96	0	0	8.935	79.834225	189.2906
beta_sitosterol	11.595	414.70778362571	1	6	4.54	7	2	7	33	0	80	0	0	8.0841	65.35267281	129.7653
betahistine	0.529	136.100048384	0	3	2.12	2	6	4	10	1	22	6	6	0.7256	0.52649536	42.5105
betaine_anhydrous	-1.227	117.146540838199	0	2	1.68	2	3	5	7	2	19	0	0	-2.043	4.173849	26.7438
betaine	-0.746	118.086803624	0	2	1.68	2	3	5	7	2	20	0	0	-1.5786	2.49197796	28.8714
betamethasone	2.735	504.252331744001	0	7	3.66	3	6	6	39	0	73	0	0	0.5386	0.29008996	129.2605
betaxolol	2.366	307.214743788001	1	11	3	3	7	7	23	1	51	6	6	1.157	1.33864900000001	87.3724
bethanechol	-0.515	161.129002784	0	4	1.79	3	4	7	10	2	28	0	0	-1.2085	1.46047225	39.8917
bexarotene	8.163	348.208930136001	1	3	3.88	0	17	3	28	0	54	12	12	5.6018	31.38016324	108.4771
bezafibrate	3.85	361.1080858	0	8	2.89	3	9	5	26	0	45	12	12	3.8901	15.13287801	94.8561
bicalutamide	2.529	430.061040808	0	7	2.23	3	11	6	30	0	43	12	12	3.3674	11.33938276	92.8623
